"Title","Tomatometer","Fresh","Audience.score","Rating","Parental.Control","Genre1","Genre2","Genre3","Director","Production","DirectorIsWriter","Runtime","Release.Date","Release.Year","Release.Season","Release.isWide"
"Ice Age: Continental Drift",37,"No",62,"PG","No","adventure","kidsandfamily","animation","SteveMartino,MikeThurmeier","BlueSkyStudios","No",87,2012-07-13,"2012","summer","Yes"
"Looper",93,"Yes",82,"R","No","action","mysteryandthriller","scifi","RianJohnson","RamBergman","Yes",119,2012-09-28,"2012","autumn","Yes"
"Total Recall",31,"No",47,"PG-13","No","scifi","action","adventure","LenWiseman","OriginalFilm","No",117,2012-08-03,"2012","summer","Yes"
"Miami Connection",68,"Yes",64,"R","No","drama","sportsandfitness",NA,"Y.K.Kim,Woo-sangPark","P.J.K.Group","No",90,2016-02-06,"2016","winter",""
"The Good Doctor",66,"Yes",31,"PG-13","No","mysteryandthriller","comedy","drama","LanceDaly","FastnetFilms","No",93,2012-08-31,"2012","summer","No"
"Premium Rush",74,"Yes",60,"PG-13","No","action","mysteryandthriller",NA,"DavidKoepp","PariahFilms","No",91,2011-08-24,"2011","summer","Yes"
"Killer Joe",79,"Yes",61,"R","No","crime","drama","mysteryandthriller","WilliamFriedkin","VoltagePictures,AnaMedia","No",101,2016-05-23,"2016","spring",""
"The Bourne Legacy",55,"No",58,"PG-13","No","action","mysteryandthriller",NA,"TonyGilroy","Kennedy/Marshall","No",135,2012-08-10,"2012","summer","Yes"
"Little Birds",59,"No",42,"R","No","drama",NA,NA,"ElginJames","PolskyFilms,SundialPictures,HuntingLaneFilms","Yes",96,2012-08-29,"2012","summer","No"
"Cosmopolis",65,"Yes",31,"R","No","fantasy","crime","drama","DavidCronenberg","RaiCinema","Yes",108,2012-08-17,"2012","summer","No"
"The Well-Digger's Daughter",88,"Yes",74,"G","Yes","romance",NA,NA,"DanielAuteuil","AlainSarde","Yes",107,2012-07-20,"2012","summer","No"
"Resident Evil: Retribution",29,"No",51,"R","No","horror","action",NA,"PaulW.S.Anderson","ConstantinFilm,ImpactPictures,DavisFilms","Yes",95,2012-09-14,"2012","summer","Yes"
"Brother (Hermano)",54,"No",82,"G","Yes","drama",NA,NA,"MarcelRasquin",NA,"No",96,2012-08-24,"2012","summer","No"
"Ted",69,"Yes",73,"R","No","fantasy","comedy",NA,"SethMacFarlane","FuzzyDoorProductions,SmartEntertainment,BluegrassFilms","No",106,2012-06-29,"2012","summer","Yes"
"10 Years",60,"Yes",40,"PG-13","No","comedy",NA,NA,"JamieLinden","TempleHill,BossMedia","Yes",100,2012-09-14,"2012","summer","No"
"Diary Of A Wimpy Kid: Dog Days",52,"No",63,"PG","No","kidsandfamily","comedy",NA,"DavidBowers","ColorForce","No",94,2012-08-03,"2012","summer","Yes"
"The Brooklyn Brothers Beat The Best",33,"No",62,"G","Yes","comedy",NA,NA,"RyanO'Nan","BrooklynBrothers5,TaggartProductions,CharacterBrigade","Yes",97,2016-08-10,"2016","summer",""
"Liberal Arts",71,"Yes",60,"PG-13","No","drama","comedy","romance","JoshRadnor","BCDFPictures","Yes",97,2012-09-14,"2012","summer","No"
"The Words",24,"No",49,"PG-13","No","drama",NA,NA,"BrianKlugman,LeeSternthal","AlsoKnownAsPictures","Yes",96,2012-09-07,"2012","summer","Yes"
"Red Hook Summer",58,"No",34,"R","No","drama",NA,NA,"SpikeLee","40Acres&AMuleFilmworks","No",121,2012-08-10,"2012","summer","No"
"Arbitrage",88,"Yes",62,"R","No","drama","mysteryandthriller",NA,"NicholasJarecki","LionsgateFilms","Yes",100,2012-09-14,"2012","summer","No"
"Putin's Kiss",81,"Yes",61,"G","Yes","documentary",NA,NA,"LiseBirkPedersen","MadeinCopenhagen",NA,84,2012-02-17,"2012","winter","No"
"Sleepwalk With Me",84,"Yes",71,"PG-13","No","drama","comedy",NA,"MikeBirbiglia","BedrocketMediaVentures,SleepwalkersAnonymous","No",90,2012-08-24,"2012","summer","No"
